id,material_code,material_name,unit,material_type,width,length,current_is_splittable,suggest,basis,confidence
1,MAT001,PET薄膜透明125μm,张,1,,0.0000,1,1,"卷材类（薄膜/纸张/不干胶/箔），物理可分切",高
2,MAT002,PET薄膜白色188μm,张,1,,0.0000,1,1,"卷材类（薄膜/纸张/不干胶/箔），物理可分切",高
3,MAT003,PVC薄膜透明0.15mm,张,1,,0.0000,1,1,"卷材类（薄膜/纸张/不干胶/箔），物理可分切",高
4,MAT004,不干胶PET银色,卷,1,,0.0000,1,1,"卷材类（薄膜/纸张/不干胶/箔），物理可分切",高
5,MAT005,不干胶PVC白色,卷,1,,0.0000,1,1,"卷材类（薄膜/纸张/不干胶/箔），物理可分切",高
24,1,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
27,4,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
28,5,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
29,6,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
30,7,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
31,8,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
33,10,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
34,11,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
35,12,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
36,13,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
37,14,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
38,15,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
39,16,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
40,17,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
41,18,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
42,19,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
43,20,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
47,24,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
48,25,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
51,28,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
54,31,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
55,32,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
56,33,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
57,34,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
58,35,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
60,37,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
62,39,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
63,40,网框,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
65,42,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
66,43,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
67,44,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
68,45,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
69,46,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
70,47,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
71,48,网版,个,1,,0.0000,1,0,"工装/辅料类（网版、网框等），非卷材，不可分切",高
72,49,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
73,50,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
74,51,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
75,52,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
76,53,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
78,55,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
79,56,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
88,65,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
89,66,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
91,68,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
92,69,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
93,70,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
97,74,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
98,75,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
102,79,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
103,80,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
104,81,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
105,82,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
106,83,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
108,85,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
109,86,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
110,87,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
111,88,原材料,个,1,,0.0000,1,0,"占位数据：名称字面为「原材料」且编码为纯数字，无真实物料语义",高
